name,mass,year,lat,lng,recclass,group,fall,id
Sarepta,14000.0,1854,48.4833,44.8167,"Iron, IAB-MG",Iron,Found,23178
Tabarz,150.0,1854,50.8833,10.5167,"Iron, IAB-MG",Iron,Found,23774
Verkhne Udinsk,18000.0,1854,54.7667,113.9833,"Iron, IIIAB",Iron,Found,24166
Avilez,146.0,1855,25.0,-103.5,H,Stony,Fell,4907
Bremervörde,7250.0,1855,53.4,9.1,H/L3.9,Stony,Fell,5135
Oesel,6000.0,1855,58.5,23.0,L6,Stony,Fell,17989
Petersburg,1800.0,1855,35.3,-86.6333,Eucrite-pmict,Stony,Fell,18801
Sabetmahet,1250.0,1855,27.4333,82.0833,H5,Stony,Fell,22792
St. Denis Westrem,700.0,1855,51.05,3.75,L6,Stony,Fell,23083
Barranca Blanca,12000.0,1855,-28.0833,-69.3333,"Iron, IIE-an",Iron,Found,4950
Narraburra,32200.0,1855,-34.25,147.7,"Iron, IIIAB",Iron,Found,16915
Orange River (iron),148800.0,1855,-30.0,25.0,"Iron, IIIAB",Iron,Found,18023
Oviedo,205.0,1856,43.4,-5.8667,H5,Stony,Fell,18058
Trenzano,11800.0,1856,45.4667,10.0,H3/4,Stony,Fell,24046
Denton County,5400.0,1856,33.0,-97.0,"Iron, IIIAB",Iron,Found,6659
Fort Pierre,15900.0,1856,44.35,-100.3833,"Iron, IIIAB",Iron,Found,10167
Hainholz,16500.0,1856,52.2833,8.9167,Mesosiderite-A4,Stony-Iron,Found,11473
Nelson County,73030.0,1856,37.75,-85.5,"Iron, IIIF",Iron,Found,16942
Heredia,1000.0,1857,10.0,-84.1,H5,Stony,Fell,11875
Kaba,3000.0,1857,47.35,21.3,CV3,Stony,Fell,12218
Les Ormes,125.0,1857,48.35,3.25,L6,Stony,Fell,12769
Ohaba,16250.0,1857,46.0667,23.5833,H5,Stony,Fell,17995
Parnallee,77600.0,1857,9.2333,78.35,LL3.6,Stony,Fell,18108
Quenggouk,6045.0,1857,17.7667,95.1833,H4,Stony,Fell,22358
Stavropol,1500.0,1857,45.05,41.9833,L6,Stony,Fell,23717
Laurens County,2150.0,1857,34.5,-82.0333,"Iron, ungrouped",Iron,Found,12741
Locust Grove,10000.0,1857,33.3333,-84.1,"Iron, IIAB",Iron,Found,14673
Mincy,89400.0,1857,36.55,-93.1,Mesosiderite-B4,Stony-Iron,Found,16694
Ausson,50000.0,1858,43.0833,0.5833,L5,Stony,Fell,4903
Kakowa,577.0,1858,45.1333,21.6667,L6,Stony,Fell,12231
